gsm_id	sample_name	assay
GSM2635143	CAPTURE-3C-seq_EB-KH2_sgSox2-SE	3C-Seq
GSM2635188	CAPTURE-ChIP-seq_K562_sgHS1-rep1	ChIP-Seq
GSM2635189	CAPTURE-ChIP-seq_K562_sgHS1-rep2	ChIP-Seq
GSM2635190	CAPTURE-ChIP-seq_K562_sgHS2-rep1	ChIP-Seq
GSM2635191	CAPTURE-ChIP-seq_K562_sgHS2-rep2	ChIP-Seq
GSM2635192	CAPTURE-ChIP-seq_K562_sgHS2-rep3	ChIP-Seq
GSM2635193	CAPTURE-ChIP-seq_K562_sgHS2-rep4	ChIP-Seq
GSM2635194	CAPTURE-ChIP-seq_K562_sgHS2-rep5	ChIP-Seq
GSM2635195	CAPTURE-ChIP-seq_K562_sgHS3-rep1	ChIP-Seq
GSM2635196	CAPTURE-ChIP-seq_K562_sgHS3-rep2	ChIP-Seq
GSM2635197	CAPTURE-ChIP-seq_K562_sgHS3-rep3	ChIP-Seq
GSM2635198	CAPTURE-ChIP-seq_K562_sgHS4-rep1	ChIP-Seq
GSM2635199	CAPTURE-ChIP-seq_K562_sgHS4-rep2	ChIP-Seq
GSM2635200	CAPTURE-ChIP-seq_K562_sgHS5-rep1	ChIP-Seq
GSM2635201	CAPTURE-ChIP-seq_K562_sgHS5-rep2	ChIP-Seq
GSM2635202	CAPTURE-ChIP-seq_K562_sgHS5-rep3	ChIP-Seq
GSM2635203	CAPTURE-ChIP-seq_K562_sgHBB-rep1	ChIP-Seq
GSM2635204	CAPTURE-ChIP-seq_K562_sgHBG-rep1	ChIP-Seq
GSM2635205	CAPTURE-ChIP-seq_K562_sgHBG-rep2	ChIP-Seq
GSM2635206	CAPTURE-ChIP-seq_K562_sgHBG-rep3	ChIP-Seq
GSM2635207	CAPTURE-ChIP-seq_K562_sgHBG-rep4	ChIP-Seq
GSM2635208	CAPTURE-ChIP-seq_K562_sgHBD-1kb-rep1	ChIP-Seq
GSM2635209	CAPTURE-ChIP-seq_K562_sgHBD-1kb-rep2	ChIP-Seq
GSM2635210	CAPTURE-ChIP-seq_K562_sg3NHS1-rep1	ChIP-Seq
GSM2635211	CAPTURE-ChIP-seq_K562_sg3NHS1-rep2	ChIP-Seq
